iter	MAE
0	5.639234793
75	4.98925749
150	4.479066291
225	4.043594214
300	3.649032336
375	3.296123153
450	2.981593296
525	2.704830519
600	2.463632477
675	2.263122498
750	2.093085686
825	1.953584426
900	1.834946107
975	1.73507494
1050	1.647429987
1125	1.571286
1200	1.4964571
1275	1.42840014
1350	1.362443805
1425	1.299781636
1500	1.239548138
1575	1.182931209
1650	1.129651004
1725	1.077243224
1800	1.0289382
1875	0.9834954006
1950	0.9378019316
2025	0.8941609687
2100	0.8544794525
2175	0.8148500852
2250	0.7775441242
2325	0.7431155407
2400	0.7097274362
2475	0.6774513847
2550	0.6455850283
2625	0.6150857869
2700	0.5877342186
2775	0.5602320069
2850	0.536141195
2925	0.5128725139
3000	0.4899479188
3075	0.4683627119
3150	0.4483735672
3225	0.4288522715
3300	0.4098325158
