iter	Passed	Remaining
0	149	1493609
1	297	1489091
2	440	1468463
3	453	1134246
4	532	1063512
5	668	1113718
6	809	1154954
7	957	1195752
8	1101	1222839
9	1242	1241133
10	1383	1256311
11	1516	1262338
12	1652	1269602
13	1796	1281413
14	1939	1291083
15	1974	1232346
16	2022	1187814
17	2158	1196860
18	2192	1151870
19	2287	1141352
20	2422	1151220
21	2574	1167787
22	2721	1180516
23	2862	1189885
24	3010	1201382
25	3159	1211957
26	3211	1186243
27	3370	1200316
28	3504	1204914
29	3538	1175913
30	3683	1184575
31	3824	1191307
32	3963	1197107
33	4103	1202816
34	4242	1208034
35	4379	1212014
36	4514	1215622
37	4646	1218159
38	4693	1198644
39	4833	1203552
40	4970	1207442
41	5140	1218805
42	5291	1225354
43	5323	1204646
44	5469	1209898
45	5604	1212796
46	5748	1217358
47	5883	1219870
48	5899	1198027
49	6029	1199958
50	6164	1202530
51	6307	1206701
52	6353	1192450
53	6487	1194879
54	6624	1197895
55	6755	1199531
56	6793	1185007
57	6808	1167020
58	6945	1170209
59	6967	1154230
60	7117	1159701
61	7289	1168453
62	7456	1176039
63	7472	1160153
64	7615	1164015
65	7666	1153982
66	7801	1156625
67	7947	1160793
68	8093	1164840
69	8234	1168136
70	8372	1170820
71	8520	1174894
72	8673	1179438
73	8819	1182954
74	8973	1187449
75	9111	1189814
76	9259	1193225
77	9404	1196343
78	9543	1198454
79	9694	1202176
80	9830	1203756
81	9983	1207544
82	10117	1208851
83	10168	1200335
84	10311	1202815
85	10455	1205294
86	10610	1209021
87	10753	1211247
88	10888	1212560
89	11044	1216145
90	11057	1204058
91	11192	1205388
92	11216	1194898
93	11363	1197533
94	11504	1199455
95	11656	1202564
96	11790	1203703
97	11932	1205679
98	12075	1207639
99	12223	1210090
100	12270	1202653
101	12413	1204620
102	12558	1206748
103	12697	1208218
104	12837	1209780
105	12971	1210795
106	13104	1211571
107	13239	1212611
108	13387	1214831
109	13522	1215754
110	13541	1206383
111	13712	1210589
112	13737	1201981
113	13886	1204238
114	14039	1206744
115	14193	1209407
116	14331	1210558
117	14470	1211845
118	14611	1213209
119	14763	1215492
120	14812	1209337
121	14966	1211793
122	14984	1203236
123	15135	1205430
124	15283	1207431
125	15426	1208899
126	15584	1211514
127	15776	1216725
128	15949	1220409
129	16112	1223282
130	16145	1216325
131	16298	1218404
132	16440	1219679
133	16588	1221365
134	16733	1222807
135	16884	1224609
136	17031	1226136
137	17170	1227049
138	17308	1227889
139	17451	1229053
140	17593	1230168
141	17747	1232092
142	17892	1233358
143	18032	1234242
144	18177	1235442
145	18231	1230505
146	18271	1224696
147	18439	1227501
148	18630	1231764
149	18767	1232396
150	18908	1233280
151	19051	1234325
152	19200	1235737
153	19336	1236271
154	19493	1238157
155	19639	1239310
156	19787	1240540
157	19976	1244388
158	20115	1244980
159	20276	1246977
160	20425	1248214
161	20573	1249389
162	20730	1251061
163	20901	1253588
164	21069	1255841
165	21212	1256673
166	21370	1258271
167	21541	1260676
168	21717	1263364
169	21889	1265738
170	22066	1268362
171	22222	1269792
172	22398	1272326
173	22572	1274675
174	22716	1275356
175	22887	1277559
176	23025	1277853
177	23193	1279811
178	23359	1281625
179	23564	1285577
180	23662	1283654
181	23846	1286382
182	23996	1287308
183	24160	1288911
184	24346	1291678
185	24364	1285580
186	24527	1287100
187	24680	1288132
188	24706	1282517
189	24849	1283025
190	24993	1283570
191	25149	1284708
192	25310	1286107
193	25333	1280510
194	25515	1282949
195	25654	1283240
196	25800	1283854
197	25963	1285314
198	26110	1285954
199	26279	1287673
200	26460	1289996
201	26553	1287996
202	26704	1288782
203	26739	1284012
204	26885	1284591
205	27044	1285801
206	27198	1286747
207	27344	1287291
208	27511	1288828
209	27681	1290494
210	27826	1290957
211	27967	1291238
212	28116	1291921
213	28259	1292280
214	28401	1292606
215	28551	1293273
216	28704	1294082
217	28845	1294361
218	28994	1294937
219	29052	1291511
220	29217	1292824
221	29375	1293845
222	29428	1290242
223	29573	1290666
224	29599	1285922
225	29739	1286177
226	29904	1287462
227	29940	1283254
228	30107	1284627
229	30264	1285570
230	30347	1283411
231	30497	1284042
232	30678	1286000
233	30832	1286810
234	30989	1287692
235	31132	1288042
236	31285	1288760
237	31418	1288673
238	31603	1290709
239	31761	1291653
240	31917	1292476
241	32052	1292441
242	32195	1292709
243	32342	1293160
244	32477	1293148
245	32624	1293568
246	32757	1293441
247	32913	1294238
248	33057	1294561
249	33195	1294629
250	33346	1295217
251	33398	1291957
252	33567	1293200
253	33735	1294432
254	33913	1296019
255	34062	1296493
256	34224	1297482
257	34373	1297931
258	34527	1298564
259	34702	1300001
260	34877	1301438
261	35026	1301856
262	35058	1297961
263	35214	1298682
264	35254	1295096
265	35404	1295593
266	35443	1292013
267	35605	1292940
268	35749	1293233
269	35915	1294291
270	36082	1295390
271	36140	1292544
272	36159	1288347
273	36315	1289082
274	36490	1290425
275	36640	1290927
276	36790	1291371
277	36949	1292157
278	37062	1291349
279	37203	1291489
280	37361	1292235
281	37512	1292734
282	37647	1292652
283	37699	1289733
284	37845	1290056
285	37870	1286286
286	37889	1282286
287	38027	1282378
288	38062	1278984
289	38257	1280953
290	38438	1282462
291	38595	1283184
292	38785	1284940
293	38925	1285065
294	39096	1286204
295	39254	1286923
296	39422	1287930
297	39572	1288378
298	39728	1288972
299	39753	1285348
300	39926	1286545
301	40076	1286975
302	40263	1288573
303	40455	1290302
304	40600	1290556
305	40751	1290991
306	40895	1291210
307	41046	1291645
308	41189	1291802
309	41336	1292098
310	41418	1290377
311	41475	1287855
312	41631	1288436
313	41780	1288807
314	41943	1289585
315	42087	1289801
316	42260	1290880
317	42413	1291355
318	42562	1291682
319	42698	1291640
320	42863	1292454
321	42968	1291463
322	43131	1292215
323	43290	1292826
324	43450	1293473
325	43586	1293436
326	43774	1294903
327	43918	1295070
328	44078	1295703
329	44234	1296216
330	44372	1296195
331	44583	1298296
332	44783	1300067
333	44815	1296974
334	44975	1297567
335	45183	1299565
336	45270	1298054
337	45288	1294607
338	45451	1295293
339	45615	1296017
340	45758	1296137
341	45928	1297008
342	46111	1298256
343	46302	1299692
344	46505	1301466
345	46675	1302335
346	46822	1302518
347	46988	1303256
348	47156	1304020
349	47301	1304174
350	47471	1304988
351	47645	1305911
